Date,Close*,High,Low,Open,Adj Close**,Volume
12/16/2005,355.32,358.72,355.32,357.34,355.32,-
12/15/2005,357.34,361.46,356.04,361.46,357.34,-
12/14/2005,361.46,362.8,359.65,359.9,361.46,-
12/13/2005,359.9,361.57,358.58,359.74,359.9,-
12/12/2005,359.74,361.1,358.48,359.17,359.74,-
12/9/2005,359.17,359.65,356.35,358.01,359.17,-
12/8/2005,358.01,360.23,355.47,357.09,358.01,-
12/7/2005,357.09,360.24,356.06,360.02,357.09,-
12/6/2005,360.02,362.54,359.03,359.03,360.02,-
12/5/2005,359.03,360.71,357.14,360.71,359.03,-
12/2/2005,360.71,360.9,357.98,360.65,360.71,-
12/1/2005,360.65,360.81,354.29,354.29,360.65,-
11/30/2005,354.29,356.14,352.94,352.94,354.29,-
11/29/2005,352.94,355.01,350.97,350.97,352.94,-
11/28/2005,350.97,357.66,350.97,357.58,350.97,-
11/25/2005,357.58,357.83,356.36,357.2,357.58,-
11/23/2005,357.2,359.06,356.29,356.73,357.2,-
11/22/2005,356.73,357.29,353.64,354.6,356.73,-
11/21/2005,354.6,354.98,349.95,351.24,354.6,-
11/18/2005,351.24,351.91,349.03,349.36,351.24,-
11/17/2005,349.36,349.36,343.09,343.09,349.36,-
11/16/2005,343.09,344.47,340.85,343.33,343.09,-
11/15/2005,343.33,347.69,342.82,347.02,343.33,-
11/14/2005,347.02,348.57,345.71,347.97,347.02,-
11/11/2005,347.97,348.5,346.49,347.03,347.97,-
11/10/2005,347.03,347.1,340.42,345.04,347.03,-
11/9/2005,345.04,347.26,342.71,344.01,345.04,-
11/8/2005,344.01,346.43,342.64,346.43,344.01,-
11/7/2005,346.43,347.4,343.92,345.07,346.43,-
11/4/2005,345.07,346.38,342.56,345.64,345.07,-
11/3/2005,345.64,348.89,344.83,345.29,345.64,-
11/2/2005,345.29,345.29,338.12,338.12,345.29,-
11/1/2005,338.12,339.73,336.27,338.98,338.12,-
10/31/2005,338.98,340.03,333.45,333.45,338.98,-
10/28/2005,333.45,333.65,326.84,326.84,333.45,-
10/27/2005,326.84,334.46,326.58,334.46,326.84,-
10/26/2005,334.46,339.73,334.1,337.15,334.46,-
10/25/2005,337.15,339.52,334.29,339.03,337.15,-
10/24/2005,339.03,339.03,331.67,331.67,339.03,-
10/21/2005,331.67,333.67,328.69,329.05,331.67,-
10/20/2005,329.05,335.76,327.03,335.31,329.05,-
10/19/2005,335.31,335.31,325.1,328.84,335.31,-
10/18/2005,328.84,333.16,328.84,333,328.84,-
10/17/2005,333,334.09,329.82,332.38,333,-
10/14/2005,332.38,332.39,326.56,327.26,332.38,-
10/13/2005,327.26,328.27,322.92,327.07,327.26,-
10/12/2005,327.07,331.91,325.46,331.49,327.07,-
10/11/2005,331.49,336.84,331.43,334.64,331.49,-
10/10/2005,334.64,338.89,334.21,338.67,334.64,-
10/7/2005,338.67,339.31,335.52,335.52,338.67,-
10/6/2005,335.52,339.79,332.36,338.42,335.52,-
10/5/2005,338.42,348.08,338.41,348.08,338.42,-
10/4/2005,348.08,353.08,348.01,352.06,348.08,-
10/3/2005,352.06,353.17,349.93,350.2,352.06,-
9/30/2005,350.2,350.45,348.11,349.26,350.2,-
9/29/2005,349.26,349.26,343.59,345.03,349.26,-
9/28/2005,345.03,346.8,343.21,346.08,345.03,-
9/27/2005,346.08,347.64,343.87,346.11,346.08,-
9/26/2005,346.11,346.94,343.06,343.06,346.11,-
9/23/2005,343.06,343.79,338.88,340.77,343.06,-
9/22/2005,340.77,341.38,337.78,340.61,340.77,-
9/21/2005,340.61,345.24,340.61,345.24,340.61,-
9/20/2005,345.24,350.34,344.51,349.25,345.24,-
9/19/2005,349.25,351.41,348.63,350.77,349.25,-
9/16/2005,350.77,350.93,347.87,347.87,350.77,-
9/15/2005,348.09,349.37,347.13,347.85,348.09,-
9/14/2005,347.85,351.54,347.6,350.56,347.85,-
9/13/2005,350.56,353.88,350.35,353.88,350.56,-
9/12/2005,353.88,354.67,352.07,352.98,353.88,-
9/9/2005,352.98,352.98,350.04,350.04,352.98,-
9/8/2005,350.04,351.93,348.55,351.93,350.04,-
9/7/2005,351.93,351.94,349.53,350.84,351.93,-
9/6/2005,350.84,350.85,345.67,345.67,350.84,-
9/2/2005,345.67,348.45,345.15,348.44,345.67,-
9/1/2005,348.44,349.3,346.5,347.42,348.44,-
8/31/2005,347.42,347.44,340.25,340.25,347.42,-
8/30/2005,340.25,341,338.61,341,340.25,-
8/29/2005,341,341,336,337.72,341,-
8/26/2005,337.72,342.14,337.17,342.12,337.72,-
8/25/2005,342.12,342.81,341.05,341.05,342.12,-
8/24/2005,341.05,345.1,340.29,341.64,341.05,-
8/23/2005,341.64,343.18,339.74,342.98,341.64,-
8/22/2005,342.98,343.17,340.79,340.96,342.98,-
8/19/2005,340.96,342.04,340.34,340.72,340.96,-
8/18/2005,340.72,341.93,339.08,341.93,340.72,-
8/17/2005,341.93,343.72,341.22,342.67,341.93,-
8/16/2005,342.67,347.78,342.6,347.78,342.67,-
8/15/2005,347.78,349.16,344.22,345.91,347.78,-
8/12/2005,345.91,349.21,343.95,349.21,345.91,-
8/11/2005,349.21,349.33,345.97,346.12,349.21,-
8/10/2005,346.12,349.32,344.02,345.13,346.12,-
8/9/2005,345.13,346.48,344.23,344.71,345.13,-
8/8/2005,344.71,348.17,344.4,346.33,344.71,-
8/5/2005,346.33,350.93,345.27,350.89,346.33,-
8/4/2005,350.89,355.84,350.75,355.84,350.89,-
8/3/2005,355.84,357.86,355.37,357.86,355.84,-
8/2/2005,357.86,357.86,354.56,354.56,357.86,-
8/1/2005,354.56,355.89,352.9,352.9,354.56,-
7/29/2005,352.9,355.53,352.61,354.55,352.9,-
7/28/2005,354.55,354.56,349.9,349.9,354.55,-
7/27/2005,349.9,349.95,346.64,349.49,349.9,-
7/26/2005,349.49,350.29,347.32,348.61,349.49,-
7/25/2005,348.61,352.77,348.36,351.56,348.61,-
7/22/2005,351.56,351.56,346.27,346.27,351.56,-
7/21/2005,346.27,352.09,346.08,352.09,346.27,174200
7/20/2005,352.09,352.18,346.54,347.42,352.09,-
7/19/2005,347.42,347.42,342.08,342.08,347.42,-
7/18/2005,342.08,344.59,341.82,344.59,342.08,-
7/15/2005,344.59,344.99,342.53,344.43,344.59,-
7/14/2005,344.43,349.37,344,346.5,344.43,-
7/13/2005,346.5,348.51,345.74,348.34,346.5,-
7/12/2005,348.34,349.89,346.75,348.26,348.34,-
7/11/2005,348.26,349.15,344.36,344.36,348.26,-
7/8/2005,344.36,344.58,338.52,338.52,344.36,-
7/7/2005,338.52,338.52,333.42,337.43,338.52,-
7/6/2005,337.43,340.43,337.12,340.08,337.43,174200
7/5/2005,340.08,340.08,334.41,334.97,340.08,174200
7/1/2005,334.97,334.97,332.78,333.1,334.97,-
6/30/2005,333.1,336.06,332.87,333.8,333.1,-
6/29/2005,333.8,334.32,332.53,332.53,333.8,-
6/28/2005,332.53,332.71,326.69,326.69,332.53,-
6/27/2005,326.69,327.02,325.39,326.81,326.69,-
6/24/2005,326.81,330.74,325.57,330.74,326.81,-
6/23/2005,330.74,335.49,330.7,335.09,330.74,-
6/22/2005,335.09,336.2,333.64,334.15,335.09,-
6/21/2005,334.15,335.37,333.65,334.9,334.15,-
6/20/2005,334.9,335.83,333.75,335.83,334.9,-
6/17/2005,335.83,338.71,335.46,336.31,335.83,2585900
6/16/2005,336.31,336.31,333.02,333.34,336.31,-
6/15/2005,333.34,333.35,329.74,331.7,333.34,-
