Date,Open,Day Low,Day High,Close,Volume
3/1/2008,244.57,228.42,265.78,253.51,1463072600
4/1/2008,253.56,253.56,277.62,268.49,817238700
5/1/2008,268.54,262.35,279.17,269.75,704322600
6/1/2008,269.75,234.9,274.48,237.14,812818700
7/1/2008,236.99,214.61,256.14,241.83,1204058200
8/1/2008,241.84,234.22,258.94,245.95,839426200
9/1/2008,245.95,220.94,262.43,241.88,1199634900
10/1/2008,241.83,129.37,241.83,165.47,1671285828
11/1/2008,165.47,90.3,169.18,126.9,1762653108
12/1/2008,126.89,101,153.57,145.63,2121337860
1/1/2009,145.63,115.02,146.93,121.12,1627803100
2/1/2009,121.12,95.84,127.45,96.52,1720757000
3/1/2009,96.52,80.77,108.27,99.77,2700725400
4/1/2009,99.77,96.61,133.49,129.02,2662767300
5/1/2009,129.02,117.23,136.26,130.84,1835937000
6/1/2009,130.85,119.26,139.9,126.77,1407680700
7/1/2009,126.78,113.59,141.5,139.86,1159090700
8/1/2009,139.86,139.86,164.42,157.37,1224448500
9/1/2009,157.35,145.44,179.9,166.24,1287823800
10/1/2009,166.23,153.77,169.64,157.39,1187287800
11/1/2009,157.39,153.45,172.62,168.24,942971100
12/1/2009,168.25,167.92,186.81,178.62,878533600
1/1/2010,178.62,167.41,181.64,168.83,796647500
2/1/2010,168.84,161.73,179.27,177.64,823081200
3/1/2010,177.65,177.65,199.43,193.37,816090400
4/1/2010,193.38,192.9,213.39,205.39,897895800
5/1/2010,205.39,177.75,213.06,193.49,1252654700
6/1/2010,193.48,178.04,203.45,183,1130229504
7/1/2010,183,174.01,204.02,200.28,1012935100
8/1/2010,200.28,189.31,207.19,197.11,819623794
9/1/2010,197.14,197.14,213.88,205.17,794584132
10/1/2010,205.18,203.72,219.64,212.96,771886327
11/1/2010,212.97,201.99,224.44,208.73,820784658
12/1/2010,208.75,206.26,218.54,217.04,741904132
1/1/2011,217.04,214.12,226.51,224.87,782731209
2/1/2011,224.87,223.5,234.46,234.4,714120256
3/1/2011,234.41,219.87,234.73,230.41,913930300
4/1/2011,230.4,224.84,242.95,240.99,650745228
5/1/2011,240.99,232.33,242.76,242.53,747121241
6/1/2011,242.11,224.38,242.11,234.2,1015173482
7/1/2011,234.21,229.01,244.35,234.09,780866691
8/1/2011,235.32,189.52,236.66,221.14,1503542779
9/1/2011,221.13,195.38,221.66,196.07,1106316605
10/1/2011,196.07,181.3,225.59,222.27,1066779143
11/1/2011,221.84,198.44,222.86,213.27,863091824
12/1/2011,213.27,207.19,224.09,220.4,734997420
1/1/2012,220.4,217.51,236.52,234.87,701368631
2/1/2012,235.78,231.54,240.38,232.67,658174978
3/1/2012,232.84,231.13,242.48,241.78,774186835
4/1/2012,241.78,231.33,248.52,247.7,638774322
5/1/2012,247.72,230.72,251.4,236.66,737831942
6/1/2012,236.63,227.76,248.41,248.4,816619691
7/1/2012,248.4,246.79,256.57,253.53,707824138
8/1/2012,254.01,248.45,256.14,253.3,616526453
9/1/2012,253.3,248.04,263.53,249.34,675617940
10/1/2012,249.63,243.49,253.86,247.77,705466100
11/1/2012,247.77,234.95,251,245.62,738679587
12/1/2012,245.62,244.34,252.93,251.5,619673107
1/1/2013,251.5,251.5,265.18,261.09,508787197
2/1/2013,261.23,259.46,266.75,263.68,712685481
3/1/2013,263.21,261.8,270.2,270.11,788510501
4/1/2013,269.87,268.71,285.18,285.18,742733503
5/1/2013,284.9,266.06,295.39,266.11,883817791
6/1/2013,266.05,242.9,268.44,258.56,1108799494
7/1/2013,259.16,251.85,270.97,259.09,786774289
